model,system_key,system,source,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
Llama-2 7B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_sglang_dp4_tp1_summary.json,4000.0,229.8,305.21,2384.69,5619.52,19.96,23.05333501118598,105.597,0.0036377,115.2768,4.20749821,14.5507953,17460.954323,0.0,8904.241126,8153.379974,403.333224,0.0,19.96,8.402775517805595e-05,0.003553672244821944,0.0,0.0
Llama-2 7B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_vllm_dp4_tp1_summary.json,4000.0,517.36,1284.75,3223.25,7391.07,26.57,29.762221684344397,104.539,0.0036413,85.2015,4.21188938,14.565261,17478.313213,0.0,11022.204238,6036.349042,419.759932,0.0,26.57,8.744998576828987e-05,0.0035538500142317103,0.0,0.0
Llama-2 7B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_slora_dp4_tp1_summary.json,4000.0,284.23,419.33,3591.19,8081.07,28.52,34.39981667579559,116.483,0.003698,75.2993,4.22046298,14.7921277,17750.553211,0.0,12069.863262,4987.987682,692.702268,0.0,28.52,0.0001443129727357716,0.0035536870272642285,0.0,0.0
Llama-2 7B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_serverlessllm_summary.json,4000.0,235998.66,469501.74,238580.99,472473.72,25.16,26.873626358368817,98.427,0.0026861,1.5604,3.11467814,10.7442785,11368.778063,1524.356106,11155.637959,6402.295647,213.140105,0.0,25.16,4.440418864843124e-05,0.0023241216218379997,0.0003175741895135692,0.0
Llama-2 7B,faaslora,PrimeLoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_faaslora_result.json,4000.0,563.9507,1015.4881,3167.2217,7206.746,28.6274,39.44787753946742,102.750526,0.00256652,123.02045,2.9741,10.26606983,10954.252041,1365.03175,10788.55221,5733.133349,165.699831,0.0,28.6274,3.452079813901088e-05,0.0022476175871622346,0.0002843816146987547,0.0
Llama-3.2 3B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_sglang_dp_tpprofile_summary.json,4000.0,120.87,154.3,1379.85,3070.87,11.0,11.77283414366907,113.093,0.0036258,199.8795,4.23315257,14.5030178,17403.621306,0.0,5386.225999,11670.501465,346.89384,0.0,11.0,7.226955022423814e-05,0.0035535304497757623,0.0,0.0
Llama-3.2 3B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_vllm_dp4_tp1_summary.json,4000.0,312.47,883.16,2405.04,5599.22,20.13,28.50957508988374,112.786,0.0035809,116.1133,4.17733094,14.3237085,17188.450232,0.0,8781.943544,8277.442116,129.064572,0.0,20.13,2.688845244994136e-05,0.003554011547550059,0.0,0.0
Llama-3.2 3B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_slora_dp4_tp1_summary.json,4000.0,308.72,556.92,7877.39,20244.87,137.31,444.465826704493,118.956,0.0036226,35.0424,4.19774512,14.4905028,17388.603382,0.0,15300.346945,1757.708955,330.54748,0.0,137.31,6.886405824620675e-05,0.0035537359417537936,0.0,0.0
Llama-3.2 3B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_serverlessllm_summary.json,4000.0,235944.29,469380.0,237592.78,471041.96,14.9,15.8201003074646,107.381,0.0022437,1.8759,2.62041276,8.9746883,8697.314938,2072.311063,8473.481728,8703.706465,223.833209,0.0,14.9,4.663191836413881e-05,0.0017653366118211308,0.00043173146981473034,0.0
Llama-3.2 3B,faaslora,PrimeLoRA,/home/qhq/serverless_llm_experiment/results/experiment_results_full_vllm_auto_a500_r4000_c4_faaslora_full_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_max2_auto.json,4000.0,881.3136,2213.23,2942.6985,5765.2772,26.5885,78.76260752832005,112.868675,0.00140888,241.20103,1.6433,5.63553398,6307.640395,455.000378,6249.13659,1911.001586,58.503806,0.0,26.5885,1.2188292922073559e-05,0.0013018999616192088,9.479174545871759e-05,0.0
