model,system_key,system,ttft_avg_ms,service_ttft_ms,dispatch_wait_ms,tpot_avg_ms
Llama-2 7B,sglang,SGLang,229.8,214.5,15.3,19.96
Llama-2 7B,vllm,vLLM,517.36,503.82,13.54,26.57
Llama-2 7B,slora,S-LoRA,284.23,267.74,16.49,28.52
Llama-2 7B,serverlessllm,ServerlessLLM,235998.66,418.24,235580.41,25.16
Llama-2 7B,faaslora,PrimeLoRA,563.9507,452.8069,111.1438,28.6274
Llama-3.2 3B,sglang,SGLang,120.87,103.78,17.09,11.0
Llama-3.2 3B,vllm,vLLM,312.47,295.4,17.07,20.13
Llama-3.2 3B,slora,S-LoRA,308.72,292.69,16.03,137.31
Llama-3.2 3B,serverlessllm,ServerlessLLM,235944.29,485.66,235458.63,14.9
Llama-3.2 3B,faaslora,PrimeLoRA,881.3136,666.4434,214.8701,26.5885
