round_dir,time_scale,nominal_rps,system_key,system,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,faaslora,PrimeLoRA,4000.0,563.9507,1015.4881,3167.2217,7206.746,28.6274,102.750526,0.00256652,123.02045,2.9741,10.26606983,10954.252041,1365.03175,10788.55221,5733.133349,165.699831,0.0,3.452079813901088e-05,0.0022476175871622346,0.0002843816146987547,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,sglang,SGLang,4000.0,229.8,305.21,2384.69,5619.52,19.96,105.597,0.0036377,115.2768,4.20749821,14.5507953,17460.954323,0.0,8904.241126,8153.379974,403.333224,0.0,8.402775517805595e-05,0.003553672244821944,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,vllm,vLLM,4000.0,517.36,1284.75,3223.25,7391.07,26.57,104.539,0.0036413,85.2015,4.21188938,14.565261,17478.313213,0.0,11022.204238,6036.349042,419.759932,0.0,8.744998576828987e-05,0.0035538500142317103,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,slora,S-LoRA,4000.0,284.23,419.33,3591.19,8081.07,28.52,116.483,0.003698,75.2993,4.22046298,14.7921277,17750.553211,0.0,12069.863262,4987.987682,692.702268,0.0,0.0001443129727357716,0.0035536870272642285,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,serverlessllm,ServerlessLLM,4000.0,235998.66,469501.74,238580.99,472473.72,25.16,98.427,0.0026861,1.5604,3.11467814,10.7442785,11368.778063,1524.356106,11155.637959,6402.295647,213.140105,0.0,4.440418864843124e-05,0.0023241216218379997,0.0003175741895135692,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load/20260426_194536_load_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s6_sensload_v1,6.0,1.3452,faaslora,PrimeLoRA,4000.0,750.7372,2123.02,3411.2931,7508.0635,29.9358,136.138916,0.00220357,133.031418,2.5554,8.81427782,9902.808814,674.324576,9735.0827,2832.163217,167.726114,0.0,3.494294039684488e-05,0.00202814277301618,0.00014048428658697533,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load/20260426_194536_load_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s6_sensload_v1,6.0,1.3452,sglang,SGLang,4000.0,233.03,308.08,2432.86,5751.69,20.53,140.77,0.0027967,146.971,3.23485636,11.1869161,13424.299357,0.0,8426.10151,4667.602846,330.595,0.0,6.887395814350321e-05,0.002727826041856497,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load/20260426_194536_load_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s6_sensload_v1,6.0,1.3452,vllm,vLLM,4000.0,755.62,2939.62,3516.8,7727.01,27.33,139.36,0.0027938,101.7798,3.23154979,11.175074,13410.08885,0.0,10000.083826,3095.552362,314.45266,0.0,6.551097058907332e-05,0.0027282890294109264,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load/20260426_194536_load_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s6_sensload_v1,6.0,1.3452,slora,S-LoRA,4000.0,884.98,826.84,4534.04,9216.93,31.42,155.195,0.0029134,75.7024,3.32530994,11.6537316,13984.477907,0.0,10777.44651,2316.950994,890.080404,0.0,0.0001854334176723793,0.0027279665823276207,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load/20260426_194536_load_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s6_sensload_v1,6.0,1.3452,serverlessllm,ServerlessLLM,4000.0,635251.57,1144987.69,637831.77,1150005.24,25.15,100.461,0.0026615,0.5891,3.08618215,10.6458995,11314.653165,1460.426237,11097.841258,6133.790196,216.811907,0.0,4.516914728459522e-05,0.0023120753867213704,0.000304255465994034,0.0
