system_key,system,source,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd,panel,benchmark,runtime_class,cost_req_musd
faaslora,PrimeLoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_faaslora_result.json,4000.0,563.9507,1015.4881,3167.2217,7206.746,28.6274,39.44787753946742,102.750526,0.00256652,123.02045,2.9741,10.26606983,10954.252041,1365.03175,10788.55221,5733.133349,165.699831,0.0,28.6274,3.452079813901088e-05,0.0022476175871622346,0.0002843816146987547,0.0,,,,
sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_sglang_dp4_tp1_summary.json,4000.0,229.8,305.21,2384.69,5619.52,19.96,23.05333501118598,105.597,0.0036377,115.2768,4.20749821,14.5507953,17460.954323,0.0,8904.241126,8153.379974,403.333224,0.0,19.96,8.402775517805595e-05,0.003553672244821944,0.0,0.0,,,,
vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_vllm_dp4_tp1_summary.json,4000.0,517.36,1284.75,3223.25,7391.07,26.57,29.762221684344397,104.539,0.0036413,85.2015,4.21188938,14.565261,17478.313213,0.0,11022.204238,6036.349042,419.759932,0.0,26.57,8.744998576828987e-05,0.0035538500142317103,0.0,0.0,,,,
slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_slora_dp4_tp1_summary.json,4000.0,284.23,419.33,3591.19,8081.07,28.52,34.39981667579559,116.483,0.003698,75.2993,4.22046298,14.7921277,17750.553211,0.0,12069.863262,4987.987682,692.702268,0.0,28.52,0.0001443129727357716,0.0035536870272642285,0.0,0.0,,,,
serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_serverlessllm_summary.json,4000.0,235998.66,469501.74,238580.99,472473.72,25.16,26.873626358368817,98.427,0.0026861,1.5604,3.11467814,10.7442785,11368.778063,1524.356106,11155.637959,6402.295647,213.140105,0.0,25.16,4.440418864843124e-05,0.0023241216218379997,0.0003175741895135692,0.0,,,,
faaslora,PrimeLoRA,,,,,3167.2217,,,,,,123.02045,,,,,,,,,,,,,,cost_ce_opportunity,Llama-2-7B / 4000 requests / 500 adapters / Zipf 1.0 / hot set 48 / rotation 500 / time scale 8,serverless-style,2.56652
sglang,SGLang,,,,,2384.69,,,,,,115.2768,,,,,,,,,,,,,,cost_ce_opportunity,Llama-2-7B / 4000 requests / 500 adapters / Zipf 1.0 / hot set 48 / rotation 500 / time scale 8,serverful,3.6376999999999997
vllm,vLLM,,,,,3223.25,,,,,,85.2015,,,,,,,,,,,,,,cost_ce_opportunity,Llama-2-7B / 4000 requests / 500 adapters / Zipf 1.0 / hot set 48 / rotation 500 / time scale 8,serverful,3.6413
slora,S-LoRA,,,,,3591.19,,,,,,75.2993,,,,,,,,,,,,,,cost_ce_opportunity,Llama-2-7B / 4000 requests / 500 adapters / Zipf 1.0 / hot set 48 / rotation 500 / time scale 8,serverful,3.698
serverlessllm,ServerlessLLM,,,,,238580.99,,,,,,1.5604,,,,,,,,,,,,,,cost_ce_opportunity,Llama-2-7B / 4000 requests / 500 adapters / Zipf 1.0 / hot set 48 / rotation 500 / time scale 8,serverless-style,2.6860999999999997
