model,system_key,system,source,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
Llama-2 7B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v3/20260512_011449_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_sglang_dp_tpprofile_summary.json,4000.0,238.69,327.63,2384.47,5627.41,19.96,23.14187304890707,105.154,0.0035771,117.2412,4.13949504,14.3082764,17169.931629,0.0,8874.447429,8182.554647,112.929552,0.0,19.96,2.352699006988243e-05,0.003553573009930118,0.0,0.0
Llama-2 7B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v4_patch/20260512_124128_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_vllm_dp4_tp1_summary.json,4000.0,501.18,1179.94,3153.23,7213.06,26.0,29.065329589404328,104.607,0.003671,86.3904,4.24584321,14.6838157,17620.578802,0.0,10867.245584,6191.239684,562.093532,0.0,26.0,0.00011710281941920701,0.003553897180580793,0.0,0.0
Llama-2 7B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v3/20260512_011449_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_slora_dp4_tp1_summary.json,4000.0,264.06,339.31,3486.15,7763.74,27.8,32.91484539232859,116.489,0.0037463,76.5695,4.27548361,14.9850655,17982.07864,0.0,11841.321013,5216.526463,924.231164,0.0,27.8,0.00019254815873835543,0.0035537518412616445,0.0,0.0
Llama-2 7B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v3/20260512_011449_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_serverlessllm_summary.json,4000.0,236161.76,469501.14,238738.81,472384.05,25.14,26.808165662428912,98.398,0.0026886,1.558,3.11766877,10.7542955,11384.071948,1521.082685,11122.70947,6388.547278,261.362477,0.0,25.14,5.445051590243028e-05,0.002317257258866234,0.0003168922252313359,0.0
Llama-2 7B,faaslora,PrimeLoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_faaslora_result.json,4000.0,563.9507,1015.4881,3167.2217,7206.746,28.6274,39.44787753946742,102.750526,0.00256652,123.02045,2.9741,10.26606983,10954.252041,1365.03175,10788.55221,5733.133349,165.699831,0.0,28.6274,3.452079813901088e-05,0.0022476175871622346,0.0002843816146987547,0.0
Llama-3.2 3B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v4_patch/20260512_192609_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_sglang_dp_tpprofile_summary.json,4000.0,144.27,192.94,1401.83,3087.81,10.99,11.799858712949867,113.091,0.0036358,196.2037,4.244876,14.5431617,17451.794017,0.0,5383.871321,11672.885847,395.036848,0.0,10.99,8.229934344179697e-05,0.003553500656558203,0.0,0.0
Llama-3.2 3B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v4_patch/20260512_223735_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_vllm_dp4_tp1_summary.json,4000.0,323.34,975.57,2421.49,5653.53,20.02,28.12244954362325,112.826,0.0035927,114.9464,4.19088869,14.3708633,17245.035904,0.0,8814.399361,8245.002967,185.633576,0.0,20.02,3.867366179225209e-05,0.003554026338207748,0.0,0.0
Llama-3.2 3B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v4_patch/20260512_223735_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_slora_dp4_tp1_summary.json,4000.0,289.23,465.89,7273.13,18260.11,126.64,414.04838835223876,119.2,0.0036912,37.2486,4.27601834,14.7648433,17717.811987,0.0,15183.098526,1874.889382,659.82408,0.0,126.64,0.00013746334979052095,0.003553736650209479,0.0,0.0
Llama-3.2 3B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/11_remote_fair_main_local_sim_v4_patch/20260512_192609_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_local-sim_v1_serverlessllm_summary.json,4000.0,236435.81,469526.08,238086.45,471037.56,14.91,15.812746746973557,107.341,0.0022779,1.8438,2.66037,9.1117699,8823.943422,2110.180451,8544.059814,8862.757894,279.883607,0.0,14.91,5.8309084828996e-05,0.0017799699875978927,0.0004396209275731109,0.0
Llama-3.2 3B,faaslora,PrimeLoRA,/home/qhq/serverless_llm_experiment/results/experiment_results_full_vllm_auto_a500_r4000_c4_faaslora_full_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_max2_auto.json,4000.0,881.3136,2213.23,2942.6985,5765.2772,26.5885,78.76260752832005,112.868675,0.00140888,241.20103,1.6433,5.63553398,6307.640395,455.000378,6249.13659,1911.001586,58.503806,0.0,26.5885,1.2188292922073559e-05,0.0013018999616192088,9.479174545871759e-05,0.0
