model,system_key,system,ttft_avg_ms,service_ttft_ms,dispatch_wait_ms,tpot_avg_ms
Llama-2 7B,sglang,SGLang,238.69,212.49,26.2,19.96
Llama-2 7B,vllm,vLLM,501.18,487.81,13.38,26.0
Llama-2 7B,slora,S-LoRA,264.06,248.18,15.89,27.8
Llama-2 7B,serverlessllm,ServerlessLLM,236161.76,413.17,235748.59,25.14
Llama-2 7B,faaslora,PrimeLoRA,563.9507,452.8069,111.1438,28.6274
Llama-3.2 3B,sglang,SGLang,144.27,104.36,39.91,10.99
Llama-3.2 3B,vllm,vLLM,323.34,299.41,23.93,20.02
Llama-3.2 3B,slora,S-LoRA,289.23,273.04,16.19,126.64
Llama-3.2 3B,serverlessllm,ServerlessLLM,236435.81,502.26,235933.55,14.91
Llama-3.2 3B,faaslora,PrimeLoRA,881.3136,666.4434,214.8701,26.5885
