round_dir,time_scale,nominal_rps,system_key,system,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,faaslora,PrimeLoRA,4000.0,502.5155,780.2508,3027.9569,6910.1221,27.1887,33.75192399576511,68.321518,0.0031137,106.065404,3.6093,12.45479408,11943.235844,3002.517056,11440.468122,12610.571636,502.767722,0.0,27.1887,0.00010474327538863373,0.0023834323381121117,0.0006255243864992547,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,sglang,SGLang,4000.0,228.67,300.67,2329.24,5524.94,19.51,21.595374523494648,70.172,0.0052438,81.873,6.06757686,20.9751763,25170.2116,0.0,9073.905957,15910.837363,185.46828,0.0,19.51,3.863922493859531e-05,0.005205160775061404,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,vllm,vLLM,4000.0,408.42,527.2,3020.71,7064.08,25.73,28.02249596598644,69.719,0.0052745,62.7644,6.10069843,21.097838,25317.405548,0.0,11517.706142,13468.981894,330.717512,0.0,25.73,6.88994818081809e-05,0.005205600518191819,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,slora,S-LoRA,4000.0,560.36,826.84,3948.42,8534.16,29.24,36.42494975344156,77.568,0.0053621,47.2329,6.12052922,21.4482868,25737.944212,0.0,14062.914595,10922.803653,752.225964,0.0,29.24,0.0001567137421833813,0.005205386257816619,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,serverlessllm,ServerlessLLM,4000.0,10950.13,40935.12,13486.91,42864.56,24.89,26.62789503733317,68.833,0.0032482,22.8265,3.76647448,12.9929358,12536.067359,3055.455636,11575.006242,12832.91367,961.061117,0.0,24.89,0.00020022106559220847,0.0024114256783367327,0.0006365532560710592,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,faaslora,PrimeLoRA,4000.0,497.4363,791.6032,3034.6053,6997.9896,27.5351,34.16275782558826,81.851896,0.0028178,116.946652,3.2669,11.27119545,11302.103923,2223.330619,11136.924032,9337.988601,165.179892,0.0,27.5351,3.4412477494911444e-05,0.002320193643615248,0.00046319387888984104,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,sglang,SGLang,4000.0,228.78,302.21,2348.77,5557.11,19.6,22.031796542444226,84.428,0.0044401,95.8887,5.13595203,17.7603532,21312.423871,0.0,9036.045073,11985.501939,290.87686,0.0,19.6,6.059934574518852e-05,0.0043795006542548115,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,vllm,vLLM,4000.0,495.28,912.98,3145.26,7271.93,26.03,28.9229960035256,83.646,0.0044456,71.5178,5.14205196,17.7823315,21338.797799,0.0,11541.715848,9482.147292,314.93466,0.0,26.03,6.561138750307476e-05,0.004379988612496925,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,slora,S-LoRA,4000.0,1317.59,1702.52,4834.93,9593.96,31.49,50.83869214852685,92.481,0.0045288,45.6691,5.17379696,18.1153723,21738.446725,0.0,13976.280736,7046.210452,715.955536,0.0,31.49,0.0001491574035734843,0.004379642596426516,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260427_112832_load_operating_p0_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,serverlessllm,ServerlessLLM,4000.0,38764.63,102114.18,41312.66,104413.45,24.97,26.63729389508565,82.491,0.0029537,8.195,3.42511405,11.814811,12007.553125,2170.220122,11528.718272,9114.924514,478.834854,0.0,24.97,9.975726091929989e-05,0.002401813548496197,0.00045212919058450343,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,faaslora,PrimeLoRA,4000.0,563.9507,1015.4881,3167.2217,7206.746,28.6274,39.44787753946742,102.750526,0.00256652,123.02045,2.9741,10.26606983,10954.252041,1365.03175,10788.55221,5733.133349,165.699831,0.0,28.6274,3.452079813901088e-05,0.0022476175871622346,0.0002843816146987547,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,sglang,SGLang,4000.0,229.8,305.21,2384.69,5619.52,19.96,23.05333501118598,105.597,0.0036377,115.2768,4.20749821,14.5507953,17460.954323,0.0,8904.241126,8153.379974,403.333224,0.0,19.96,8.402775517805595e-05,0.003553672244821944,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,vllm,vLLM,4000.0,517.36,1284.75,3223.25,7391.07,26.57,29.762221684344397,104.539,0.0036413,85.2015,4.21188938,14.565261,17478.313213,0.0,11022.204238,6036.349042,419.759932,0.0,26.57,8.744998576828987e-05,0.0035538500142317103,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,slora,S-LoRA,4000.0,284.23,419.33,3591.19,8081.07,28.52,34.39981667579559,116.483,0.003698,75.2993,4.22046298,14.7921277,17750.553211,0.0,12069.863262,4987.987682,692.702268,0.0,28.52,0.0001443129727357716,0.0035536870272642285,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1,8.0,1.009,serverlessllm,ServerlessLLM,4000.0,235998.66,469501.74,238580.99,472473.72,25.16,26.873626358368817,98.427,0.0026861,1.5604,3.11467814,10.7442785,11368.778063,1524.356106,11155.637959,6402.295647,213.140105,0.0,25.16,4.440418864843124e-05,0.0023241216218379997,0.0003175741895135692,0.0
