round_dir,time_scale,adapter_pool_size,system_key,system,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a100_seed42_z1p0_hot16_rot500_s8_sensadpool_v1,8.0,100,faaslora,PrimeLoRA,4000.0,443.7877,707.3928,3003.6601,7025.5074,26.8231,33.45493718240937,102.382947,0.00252608,131.795863,2.9285,10.1043279,10699.493234,1425.700245,10532.15757,5987.941028,167.335664,0.0,26.8231,3.486159666954181e-05,0.002194197518930962,0.0002970208843994962,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a100_seed42_z1p0_hot16_rot500_s8_sensadpool_v1,8.0,100,sglang,SGLang,4000.0,225.65,300.6,2374.87,5598.56,19.89,22.872594378275696,105.635,0.0035871,117.3853,4.14884912,14.3485209,17218.225021,0.0,8868.379326,8188.526058,161.319636,0.0,19.89,3.360825761516212e-05,0.0035534917423848383,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a100_seed42_z1p0_hot16_rot500_s8_sensadpool_v1,8.0,100,vllm,vLLM,4000.0,462.48,1123.31,3111.25,7178.23,26.0,28.925541812900967,104.594,0.0036009,89.2588,4.16489851,14.4036768,17284.412117,0.0,10789.014891,6269.560757,225.836468,0.0,26.0,4.7049264283715385e-05,0.0035538507357162847,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a100_seed42_z1p0_hot16_rot500_s8_sensadpool_v1,8.0,100,slora,S-LoRA,4000.0,262.51,339.99,3511.73,7821.54,27.98,32.49696290029003,116.489,0.0035957,79.1941,4.10367738,14.3829132,17259.495828,0.0,11915.442894,5142.432534,201.6204,0.0,27.98,4.200425002920427e-05,0.0035536957499707955,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a100_seed42_z1p0_hot16_rot500_s8_sensadpool_v1,8.0,100,serverlessllm,ServerlessLLM,4000.0,236173.99,469770.4,238742.19,472725.98,25.05,26.740339490937888,98.403,0.0026571,1.5764,3.08115691,10.6285186,11186.03464,1568.18762,10969.741005,6586.388006,216.293634,0.0,25.05,4.506117396198238e-05,0.002285333070334421,0.0003267057557035965,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a200_seed42_z1p0_hot24_rot500_s8_sensadpool_v1,8.0,200,faaslora,PrimeLoRA,4000.0,496.6134,791.069,3053.7993,7097.0064,26.8869,33.95263037964469,102.131348,0.00253441,129.205759,2.939,10.13765799,10751.91501,1413.274581,10585.450263,5935.753238,166.464747,0.0,26.8869,3.468015561644768e-05,0.002205297640081161,0.0002944322043023914,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a200_seed42_z1p0_hot24_rot500_s8_sensadpool_v1,8.0,200,sglang,SGLang,4000.0,226.95,303.0,2351.3,5595.17,19.9,22.921986430199276,104.38,0.0035838,118.6713,4.15099003,14.3352822,17202.338613,0.0,8812.292679,8244.722113,145.32382,0.0,19.9,3.0275795880852834e-05,0.003553524204119147,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a200_seed42_z1p0_hot24_rot500_s8_sensadpool_v1,8.0,200,vllm,vLLM,4000.0,477.85,1124.39,3134.19,7213.12,26.03,28.978656047425652,104.564,0.0036059,88.4825,4.17083653,14.4237162,17308.459412,0.0,10835.238349,6223.360135,249.860928,0.0,26.03,5.205436008420865e-05,0.0035538456399157913,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a200_seed42_z1p0_hot24_rot500_s8_sensadpool_v1,8.0,200,slora,S-LoRA,4000.0,262.45,339.88,3531.23,7902.79,28.2,33.307130233419265,116.488,0.0036108,78.4267,4.1209397,14.443395,17332.074023,0.0,11957.851154,5100.073694,274.149176,0.0,28.2,5.711441159087473e-05,0.0035536855884091252,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/07_sensitivity_adapter_pool/20260428_095850_adapter_pool_p0_llama2_7b_r4000_a200_seed42_z1p0_hot24_rot500_s8_sensadpool_v1,8.0,200,serverlessllm,ServerlessLLM,4000.0,236449.88,470263.79,239021.74,473179.7,25.13,26.7983592895494,98.381,0.0026723,1.5656,3.09875965,10.6890413,11280.649939,1546.199565,11064.374151,6494.038174,216.275788,0.0,25.13,4.5057456030047064e-05,0.0023051176331886063,0.0003221249107813464,0.0
