model,system_key,system,metric,initial,local_sim,true_remote,local_vs_initial_pct,true_vs_local_pct,true_vs_initial_pct
Llama-2 7B,faaslora,PrimeLoRA,ttft_avg_ms,563.951,563.951,657.17,+0.00,+16.53,+16.53
Llama-2 7B,faaslora,PrimeLoRA,e2e_avg_ms,3167.22,3167.22,3265.4,+0.00,+3.10,+3.10
Llama-2 7B,faaslora,PrimeLoRA,cost_req_usd,0.00256652,0.00256652,0.00257684,+0.00,+0.40,+0.40
Llama-2 7B,faaslora,PrimeLoRA,ce,123.02,123.02,118.844,+0.00,-3.40,-3.40
Llama-2 7B,serverlessllm,ServerlessLLM,ttft_avg_ms,235999,236162,236576,+0.07,+0.18,+0.24
Llama-2 7B,serverlessllm,ServerlessLLM,e2e_avg_ms,238581,238739,239157,+0.07,+0.18,+0.24
Llama-2 7B,serverlessllm,ServerlessLLM,cost_req_usd,0.0026861,0.0026886,0.0026921,+0.09,+0.13,+0.22
Llama-2 7B,serverlessllm,ServerlessLLM,ce,1.5604,1.558,1.5532,-0.15,-0.31,-0.46
Llama-2 7B,sglang,SGLang,ttft_avg_ms,229.8,238.69,274.48,+3.87,+14.99,+19.44
Llama-2 7B,sglang,SGLang,e2e_avg_ms,2384.69,2384.47,2427.36,-0.01,+1.80,+1.79
Llama-2 7B,sglang,SGLang,cost_req_usd,0.0036377,0.0035771,0.003599,-1.67,+0.61,-1.06
Llama-2 7B,sglang,SGLang,ce,115.277,117.241,114.467,+1.70,-2.37,-0.70
Llama-2 7B,slora,S-LoRA,ttft_avg_ms,284.23,264.06,325.5,-7.10,+23.27,+14.52
Llama-2 7B,slora,S-LoRA,e2e_avg_ms,3591.19,3486.15,3790.54,-2.92,+8.73,+5.55
Llama-2 7B,slora,S-LoRA,cost_req_usd,0.003698,0.0037463,0.0041509,+1.31,+10.80,+12.25
Llama-2 7B,slora,S-LoRA,ce,75.2993,76.5695,63.5556,+1.69,-17.00,-15.60
Llama-2 7B,vllm,vLLM,ttft_avg_ms,517.36,501.18,500.68,-3.13,-0.10,-3.22
Llama-2 7B,vllm,vLLM,e2e_avg_ms,3223.25,3153.23,3151.02,-2.17,-0.07,-2.24
Llama-2 7B,vllm,vLLM,cost_req_usd,0.0036413,0.003671,0.0040665,+0.82,+10.77,+11.68
Llama-2 7B,vllm,vLLM,ce,85.2015,86.3904,78.0421,+1.40,-9.66,-8.40
Llama-3.2 3B,faaslora,PrimeLoRA,ttft_avg_ms,881.314,881.314,1087.23,+0.00,+23.36,+23.36
Llama-3.2 3B,faaslora,PrimeLoRA,e2e_avg_ms,2942.7,2942.7,3286.24,+0.00,+11.67,+11.67
Llama-3.2 3B,faaslora,PrimeLoRA,cost_req_usd,0.00140888,0.00140888,0.00143165,+0.00,+1.62,+1.62
Llama-3.2 3B,faaslora,PrimeLoRA,ce,241.201,241.201,212.551,+0.00,-11.88,-11.88
Llama-3.2 3B,serverlessllm,ServerlessLLM,ttft_avg_ms,235944,236436,237444,+0.21,+0.43,+0.64
Llama-3.2 3B,serverlessllm,ServerlessLLM,e2e_avg_ms,237593,238086,239094,+0.21,+0.42,+0.63
Llama-3.2 3B,serverlessllm,ServerlessLLM,cost_req_usd,0.0022437,0.0022779,0.0022911,+1.52,+0.58,+2.11
Llama-3.2 3B,serverlessllm,ServerlessLLM,ce,1.8759,1.8438,1.8256,-1.71,-0.99,-2.68
Llama-3.2 3B,sglang,SGLang,ttft_avg_ms,120.87,144.27,228.59,+19.36,+58.45,+89.12
Llama-3.2 3B,sglang,SGLang,e2e_avg_ms,1379.85,1401.83,1485.52,+1.59,+5.97,+7.66
Llama-3.2 3B,sglang,SGLang,cost_req_usd,0.0036258,0.0036358,0.0036258,+0.28,-0.28,+0.00
Llama-3.2 3B,sglang,SGLang,ce,199.88,196.204,185.66,-1.84,-5.37,-7.11
Llama-3.2 3B,slora,S-LoRA,ttft_avg_ms,308.72,289.23,305.86,-6.31,+5.75,-0.93
Llama-3.2 3B,slora,S-LoRA,e2e_avg_ms,7877.39,7273.13,7757.95,-7.67,+6.67,-1.52
Llama-3.2 3B,slora,S-LoRA,cost_req_usd,0.0036226,0.0036912,0.0046812,+1.89,+26.82,+29.22
Llama-3.2 3B,slora,S-LoRA,ce,35.0424,37.2486,27.5358,+6.30,-26.08,-21.42
Llama-3.2 3B,vllm,vLLM,ttft_avg_ms,312.47,323.34,455.34,+3.48,+40.82,+45.72
Llama-3.2 3B,vllm,vLLM,e2e_avg_ms,2405.04,2421.49,2564.25,+0.68,+5.90,+6.62
Llama-3.2 3B,vllm,vLLM,cost_req_usd,0.0035809,0.0035927,0.0036095,+0.33,+0.47,+0.80
Llama-3.2 3B,vllm,vLLM,ce,116.113,114.946,108.041,-1.00,-6.01,-6.95
