model,system_key,system,ttft_avg_ms_local,ttft_avg_ms_real,ttft_avg_ms_delta,ttft_avg_ms_delta_pct,ttft_p95_ms_local,ttft_p95_ms_real,ttft_p95_ms_delta,ttft_p95_ms_delta_pct,e2e_avg_ms_local,e2e_avg_ms_real,e2e_avg_ms_delta,e2e_avg_ms_delta_pct,tpot_avg_ms_local,tpot_avg_ms_real,tpot_avg_ms_delta,tpot_avg_ms_delta_pct,tok_s_local,tok_s_real,tok_s_delta,tok_s_delta_pct,cost_req_usd_local,cost_req_usd_real,cost_req_usd_delta,cost_req_usd_delta_pct,ce_local,ce_real,ce_delta,ce_delta_pct
Llama-2 7B,sglang,SGLang,238.69,274.48,35.79000000000002,14.994344128367349,327.63,359.53,31.899999999999977,9.73659310807923,2384.47,2427.36,42.89000000000033,1.7987225672791158,19.96,20.0,0.03999999999999915,0.20040080160320214,105.154,105.415,0.2610000000000099,0.24820739106454331,0.0035771,0.003599,2.1900000000000044e-05,0.6122277822817378,117.2412,114.4668,-2.7744,-2.366403619205535
Llama-2 7B,vllm,vLLM,501.18,500.68,-0.5,-0.09976455564866915,1179.94,1173.41,-6.529999999999973,-0.5534179704052725,3153.23,3151.02,-2.2100000000000364,-0.07008686331158959,26.0,26.05,0.05000000000000071,0.19230769230769504,104.607,104.558,-0.04899999999999238,-0.04684198954180158,0.003671,0.0040665,0.0003955,10.7736311631708,86.3904,78.0421,-8.348299999999995,-9.663457976812232
Llama-2 7B,slora,S-LoRA,264.06,325.5,61.44,23.267439218359463,339.31,438.05,98.74000000000001,29.100232825439864,3486.15,3790.54,304.3899999999999,8.731408573928254,27.8,29.93,2.129999999999999,7.661870503597118,116.489,116.433,-0.055999999999997385,-0.0480732086291387,0.0037463,0.0041509,0.00040459999999999975,10.799989322798488,76.5695,63.5556,-13.013900000000007,-16.9961930011297
Llama-2 7B,serverlessllm,ServerlessLLM,236161.76,236575.7,413.9400000000023,0.17527816527112702,469501.14,469915.99,414.8499999999767,0.08835974285386755,238738.81,239156.82,418.0100000000093,0.1750909288690889,25.14,25.14,0.0,0.0,98.398,98.489,0.09100000000000819,0.09248155450314863,0.0026886,0.0026921,3.499999999999597e-06,0.1301792754593319,1.558,1.5532,-0.0048000000000001375,-0.30808729139923857
Llama-2 7B,faaslora,PrimeLoRA,563.9507,657.1698,93.21910000000003,16.529654099196975,1015.4881,1661.2877,645.7996,63.594994367733115,3167.2217,3265.4022,98.18049999999994,3.0998935123486913,28.6274,29.8132,1.1857999999999969,4.142185458686422,102.750526,102.030525,-0.7200009999999963,-0.700727313065041,0.00256652,0.00257684,1.031999999999986e-05,0.40210089927216075,123.02045,118.843777,-4.176672999999994,-3.395104635042381
Llama-3.2 3B,sglang,SGLang,144.27,228.59,84.32,58.44596936299992,192.94,219.8,26.860000000000014,13.92142635016068,1401.83,1485.52,83.69000000000005,5.970053430159154,10.99,11.06,0.07000000000000028,0.6369426751592382,113.091,112.879,-0.21199999999998909,-0.18745965638290324,0.0036358,0.0036258,-9.999999999999593e-06,-0.27504263160788806,196.2037,185.6602,-10.543499999999995,-5.373751871142081
Llama-3.2 3B,vllm,vLLM,323.34,455.34,132.0,40.82390053813324,975.57,2032.63,1057.06,108.35306538741452,2421.49,2564.25,142.76000000000022,5.895543652874893,20.02,20.27,0.25,1.2487512487512489,112.826,112.787,-0.03899999999998727,-0.03456650062927629,0.0035927,0.0036095,1.6799999999999975e-05,0.46761488574052873,114.9464,108.041,-6.9054,-6.007495667545918
Llama-3.2 3B,slora,S-LoRA,289.23,305.86,16.629999999999995,5.749749334439717,465.89,505.97,40.08000000000004,8.602889093992152,7273.13,7757.95,484.8199999999997,6.665905875462143,126.64,133.96,7.320000000000007,5.780164245104238,119.2,119.173,-0.027000000000001023,-0.022651006711410255,0.0036912,0.0046812,0.00099,26.82054616384916,37.2486,27.5358,-9.712800000000005,-26.075610895443063
Llama-3.2 3B,serverlessllm,ServerlessLLM,236435.81,237443.84,1008.0299999999988,0.4263440466145965,469526.08,471907.56,2381.4799999999814,0.5072093119939112,238086.45,239093.59,1007.1399999999849,0.42301441346199453,14.91,14.91,0.0,0.0,107.341,107.179,-0.16199999999999193,-0.15092089695455785,0.0022779,0.0022911,1.3200000000000104e-05,0.5794811010140966,1.8438,1.8256,-0.018200000000000216,-0.9870918754745751
Llama-3.2 3B,faaslora,PrimeLoRA,881.3136,1087.2257,205.9121,23.364225855586483,2213.23,3744.1838,1530.9537999999998,69.17282885194939,2942.6985,3286.2354,343.53690000000006,11.67421331135351,26.5885,34.9222,8.333699999999997,31.343249901273097,112.868675,112.854832,-0.013842999999994277,-0.012264696116964496,0.00140888,0.00143165,2.2770000000000082e-05,1.6161773891317985,241.20103,212.551474,-28.64955599999999,-11.877874650866952
