scenario,label,tier,tier_label,n,share_pct,ttft_p50_ms,ttft_p95_ms,adapter_prep_p95_ms,dispatch_wait_p95_ms,runtime_ttft_p95_ms,ttft_mean_ms,adapter_prep_mean_ms,dispatch_wait_mean_ms,runtime_ttft_mean_ms
faaslora_nvme,PrimeLoRA-NVMe,gpu,GPU-ready,3796,94.9,498.7840386129392,1668.1878046147176,0.0,1912.342582065321,634.6435132491024,620.610254542425,0.08126666995886128,365.58193432014457,427.3051320089509
faaslora_nvme,PrimeLoRA-NVMe,host,HOST-prepared,96,2.4,531.3609499335143,6539.255266297914,52.24806773662567,18564.491191801608,613.1673280015093,1208.2348239484872,50.9642149216185,2059.692437854286,475.2068804166735
faaslora_nvme,PrimeLoRA-NVMe,nvme,NVMe-prepared,1,0.025,1031.6321158861683,1031.6321158861683,0.0,638.2030828972347,415.09402799783857,1031.6321158861683,0.0,638.2030828972347,415.09402799783857
faaslora_nvme,PrimeLoRA-NVMe,remote,Remote-cold,107,2.675,1656.6524385889352,3569.5626644868694,44.237762331962585,3605.5776810931675,710.4340102992863,1924.6670354437028,39.44324806787513,791.6545558545864,519.2495310840849
faaslora_no_coord,PrimeLoRA-NoCoord,gpu,GPU-ready,3790,94.75,496.3159483013442,1438.8210208668163,0.0,1517.6720197439843,627.5640860505517,572.0398504782498,0.027043821786513114,296.61022114081584,423.89421633745343
faaslora_no_coord,PrimeLoRA-NoCoord,host,HOST-prepared,124,3.1,523.6743724417465,6283.653158667947,52.24806773662567,17641.497149171115,670.7402866502888,1224.510265966743,51.02024026551554,2128.0366387163667,481.8627437259033
faaslora_no_coord,PrimeLoRA-NoCoord,remote,Remote-cold,86,2.15,1642.208962184668,2574.245639503715,44.237763464450836,1283.3149472435252,824.6373722522549,1824.3557601814077,39.81904553812604,389.70879184358466,549.6954084071127
faaslora_full,PrimeLoRA,gpu,GPU-ready,3783,94.575,513.3002529692021,1576.3811089182125,0.0,1975.9597173069778,679.341495301196,619.5626297881312,0.04064079489683998,362.0251925612386,440.6672800258963
faaslora_full,PrimeLoRA,host,HOST-prepared,131,3.275,529.1694876177644,4034.9929083440657,52.24806773662567,8201.042914339268,671.9348499991611,1020.8622449382478,51.48468957511523,1460.3884200147454,498.99385033576027
faaslora_full,PrimeLoRA,remote,Remote-cold,86,2.15,1634.2460155537992,2858.957476634714,44.237763464450836,1361.2431615019887,714.3786459992043,1810.9483830674774,39.81904553812604,421.02889199795334,544.0870898026672
