round_dir,time_scale,nominal_rps,system_key,system,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,faaslora,PrimeLoRA,4000.0,502.5155,780.2508,3027.9569,6910.1221,27.1887,33.75192399576511,68.321518,0.0031137,106.065404,3.6093,12.45479408,11943.235844,3002.517056,11440.468122,12610.571636,502.767722,0.0,27.1887,0.00010474327538863373,0.0023834323381121117,0.0006255243864992547,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,sglang,SGLang,4000.0,279.43,358.34,2380.03,5550.11,19.44,21.454074785041804,70.247,0.0052289,80.354,6.04954225,20.9155966,25098.715965,0.0,9099.619184,15885.87242,113.22436,0.0,19.44,2.3588408291041196e-05,0.0052053115917089585,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,vllm,vLLM,4000.0,406.46,535.74,2979.05,6974.45,25.32,27.528256509685885,69.693,0.0057353,58.5278,6.63408882,22.9413757,27529.650847,0.0,11377.203007,13609.142417,2543.305424,0.0,25.32,0.0005298552965319396,0.00520544470346806,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,slora,S-LoRA,4000.0,264.9,334.79,3477.08,7589.26,27.81,38.30502487783939,77.663,0.0058385,49.2591,6.66323745,23.3538676,28024.641179,0.0,13076.025638,11909.605834,3039.009708,0.0,27.81,0.0006331270211670841,0.0052053729788329155,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s12_sensloadop_v1,12.0,0.6727,serverlessllm,ServerlessLLM,4000.0,11220.75,41090.98,13751.9,43243.88,24.98,26.568509851183208,68.822,0.0032577,22.3215,3.77754132,13.0308819,12612.778509,3024.279745,11565.638356,12701.97493,1047.140153,0.0,24.98,0.00021815419890439537,0.0024094875198396627,0.0006300582812559419,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,faaslora,PrimeLoRA,4000.0,497.4363,791.6032,3034.6053,6997.9896,27.5351,34.16275782558826,81.851896,0.0028178,116.946652,3.2669,11.27119545,11302.103923,2223.330619,11136.924032,9337.988601,165.179892,0.0,27.5351,3.4412477494911444e-05,0.002320193643615248,0.00046319387888984104,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,sglang,SGLang,4000.0,288.96,475.1,2396.85,5567.68,19.59,21.899180385335843,84.126,0.004445,93.8614,5.14387989,17.7799957,21335.994878,0.0,9034.541461,11986.249627,315.203792,0.0,19.59,6.566745654971109e-05,0.004379332543450289,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,vllm,vLLM,4000.0,424.05,536.56,3024.55,7043.94,25.48,28.091763364492202,83.639,0.0048996,67.4799,5.66734858,19.5985528,23518.263374,0.0,11207.337022,9815.10823,2495.818124,0.0,25.48,0.0005199621088571426,0.004379637891142857,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,slora,S-LoRA,4000.0,264.63,341.03,3702.64,8659.96,29.64,38.42794226377841,93.194,0.004998,54.0376,5.70399753,19.9918383,23990.205942,0.0,13300.463679,7721.339669,2968.402592,0.0,29.64,0.000618417207130669,0.004379582792869331,0.0,0.0
/home/qhq/serverless_llm_baselines/results/paper_experiments/06_sensitivity_load_operating/20260514_real_remote_fullfigs_v1_load_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s10_sensloadop_v1,10.0,0.8072,serverlessllm,ServerlessLLM,4000.0,38994.41,102383.66,41535.67,104715.05,24.89,26.57656166702509,82.469,0.0029411,8.186,3.41058335,11.7643161,11970.956126,2146.223227,11449.015755,9014.137554,521.940371,0.0,24.89,0.00010873757703748417,0.0023852325850493832,0.00044712983791313275,0.0
