purpose,model_key,model,system_key,system,source_path,snapshot_file,source_bytes,snapshot_bytes,source_sha256,snapshot_sha256
main,llama2_7b,Llama-2 7B,primelora_vllm,PrimeLoRA-vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/faaslora/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_faaslora_result.json,paper_results/final_v2/raw_json_gz/main_llama2_7b_primelora_vllm.json.gz,10033547,1510090,ec5f66d206ec03cacdecfccc07b1c35a24004dfcaf06d1d93bd28e774df1b06a,bb5e91ee6c111a68715391d65ac718680d3b8f6fc0797a86e2c5e42ee173d9f7
main,llama2_7b,Llama-2 7B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_sglang_dp4_tp1_summary.json,paper_results/final_v2/raw_json_gz/main_llama2_7b_sglang.json.gz,13601108,1283235,120d153b5c092e1f3225d395da895a74e7d73ceac2085c30b33cf541a77b2d5b,a747e6072229ffbe54a8f31c596571ac34b2c1b419884261ce7fe3caedae6ff1
main,llama2_7b,Llama-2 7B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_vllm_dp4_tp1_summary.json,paper_results/final_v2/raw_json_gz/main_llama2_7b_vllm.json.gz,10236817,890734,3888f6961388ed98b66ebb9fdd6c6b5a34ed97c5027fb64d3fb53dc5adcc2e29,809c741c4d8e1ddd89e4a083876255e04daeef93bbe8c1c93d8f9437e28c2dad
main,llama2_7b,Llama-2 7B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_slora_dp4_tp1_summary.json,paper_results/final_v2/raw_json_gz/main_llama2_7b_slora.json.gz,10285671,824728,5cc7c21bdcc5d24b0e71d51c5f41b0f3a873fc57c984b7f6472188ad9bc912ed,b0544231ef85221e8eab03fecddb4c574eb2a218ad72cd0aa367afca380284ac
main,llama2_7b,Llama-2 7B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260424_104050_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv1_serverlessllm_summary.json,paper_results/final_v2/raw_json_gz/main_llama2_7b_serverlessllm.json.gz,14087029,1386261,22792eb7b7657b54c96c94e8116650cd9439467b024eb3b651e6d8a677276b1a,aa0f92b06ae4fb8c478671b167cc9d9806465385cbff1382424df704d930bf8f
main,llama32_3b,Llama-3.2 3B,primelora_vllm,PrimeLoRA-vLLM,/home/qhq/serverless_llm_experiment/results/experiment_results_full_vllm_auto_a500_r4000_c4_faaslora_full_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_max2_auto.json,paper_results/final_v2/raw_json_gz/main_llama32_3b_primelora_vllm.json.gz,12323842,1688919,7e084b6d60c8ca34a78cf117a2a3e251ea188e934c6b4e3739604f328918949e,78889b85b1cb0c850b354b4c40d8c43f690641e6b51d3c0506f451a27543099c
main,llama32_3b,Llama-3.2 3B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_sglang_dp_tpprofile_summary.json,paper_results/final_v2/raw_json_gz/main_llama32_3b_sglang.json.gz,15408679,1362989,7899da0f3c256309b8a4700cc525d2018d233ed617006062e7f92ba901d49b54,f6f7bf4e4a66a12c525e8cbc09c771dbee93a4ab575846290189f019d0a0a98f
main,llama32_3b,Llama-3.2 3B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_vllm_dp4_tp1_summary.json,paper_results/final_v2/raw_json_gz/main_llama32_3b_vllm.json.gz,11251464,899457,4a2d7fdfdde4603c4eb324231da06ad63227784038f8c2d3af9dfefc5c786fe6,4acba25c9ec2590224ce6bc9a89dbbb0b53dbe56a12fa80211aa8aa43446c829
main,llama32_3b,Llama-3.2 3B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_slora_dp4_tp1_summary.json,paper_results/final_v2/raw_json_gz/main_llama32_3b_slora.json.gz,10281054,814299,e2f8fec746a88b29a9d4fe952950d3828e1cc52357765b705db4d3f662bece9e,43087f1f25e8aa92deebee8294f7c17fd43d5fd82c94b8353f8ca8741d19c284
main,llama32_3b,Llama-3.2 3B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/03_main_comparison/20260509_201205_llama32_3b_main_s8_v2/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_mainv2_seq8_serverlessllm_summary.json,paper_results/final_v2/raw_json_gz/main_llama32_3b_serverlessllm.json.gz,14119245,1384536,88306023649f6e0fec743b963f9b64a9ae7bd8b38e33c86c8b46e08f16a6ed3d,1adcaa500d47510001e0943d5c119f5ffb2cf7e65c6144f23b04f9caa195e0ab
